"","kingdom","phylum","class","order","family","genus","species","abr_1_guild_level_2_AND","abr_2_guild_level_3_AND","abr_3_guild_level_4_AND","abr_4_guild_level_5_AND","abr_all_guild_level_AND","consumer","potential","interaction_matchName","resource_matchName"
"Vicinamibacterales::Cluster_802","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Vicinamibacterales::Cluster_869","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Vicinamibacterales::Cluster_922","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Vicinamibacterales::Cluster_931","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Weissella kandleri::Cluster_4783","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Weissella kandleri","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"WPS-2::Cluster_1080","Bacteria","WPS-2","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"WPS-2::Cluster_1113","Bacteria","WPS-2","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"WPS-2::Cluster_4594","Bacteria","WPS-2","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Xanthobacteraceae::Cluster_1111","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","observed","not observed"
"Xanthobacteraceae::Cluster_116","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","observed","not observed"
"Xanthobacteraceae::Cluster_1374","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","observed","not observed"
"Xanthobacteraceae::Cluster_279","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","observed","not observed"
"Xanthobacteraceae::Cluster_40","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","observed","not observed"
"Xanthobacteraceae::Cluster_5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","observed","not observed"
"Xanthomonas::Cluster_486","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Yersiniaceae::Cluster_894","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Absidia::Cluster_1020","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","unassigned","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_soil saprotrophANDuna_unassigned","soi_unassignedANDuna_unassigned","het_dec_sap_soi_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acericola italica::Cluster_398","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Acericola","Acericola italica","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_wood saprotrophANDuna_unassigned","una_unassignedANDwoo_unassigned","het_dec_sap_woo_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acremonium chrysogenum::Cluster_953","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium chrysogenum","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_unassignedANDuna_unassigned","una_unassigned","het_dec_sap_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acremonium furcatum::Cluster_58","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium furcatum","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_unassignedANDuna_unassigned","una_unassigned","het_dec_sap_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acremonium fusidioides::Cluster_380","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium fusidioides","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_unassignedANDuna_unassigned","una_unassigned","het_dec_sap_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acremonium fusidioides::Cluster_411","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium fusidioides","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_unassignedANDuna_unassigned","una_unassigned","het_dec_sap_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acremonium persicinum::Cluster_323","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium persicinum","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_unassignedANDuna_unassigned","una_unassigned","het_dec_sap_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acremonium pilosum::Cluster_170","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium pilosum","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_unassignedANDuna_unassigned","una_unassigned","het_dec_sap_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acremonium rutilum::Cluster_271","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium rutilum","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_unassignedANDuna_unassigned","una_unassigned","het_dec_sap_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acrocalymma::Cluster_73","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Acrocalymma","unassigned","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_wood saprotrophANDuna_unassigned","una_unassignedANDwoo_unassigned","het_dec_sap_woo_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Acrostalagmus luteoalbus::Cluster_1130","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus","Acrostalagmus luteoalbus","het_symbiotrophANDhet_unassignedANDmic_unassigned","sym_endophyteANDuna_unassigned","end_unassignedANDuna_unassigned","una_unassigned","het_sym_end_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Agaricales::Cluster_121","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Agaricales::Cluster_133","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Agaricales::Cluster_150","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Agaricales::Cluster_241","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Agaricales::Cluster_263","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Agaricales::Cluster_604","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Agaricus comtulus::Cluster_1131","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus comtulus","mic_unassigned","una_unassigned","una_unassigned","una_unassigned","mic_una_una_una_una","untargeted","any","not observed","not observed"
"Agrocybe pediades::Cluster_80","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Agrocybe","Agrocybe pediades","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_soil saprotrophANDuna_unassigned","soi_unassignedANDuna_unassigned","het_dec_sap_soi_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Albifimbria verrucaria::Cluster_504","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Albifimbria","Albifimbria verrucaria","mic_unassigned","una_unassigned","una_unassigned","una_unassigned","mic_una_una_una_una","untargeted","any","not observed","not observed"
"Alternaria argyranthemi::Cluster_36","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria argyranthemi","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria armoraciae::Cluster_149","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria armoraciae","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria calendulae::Cluster_743","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria calendulae","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria eureka::Cluster_159","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria eureka","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria iridiaustralis::Cluster_3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria iridiaustralis","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria metachromatica::Cluster_37","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria metachromatica","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria metachromatica::Cluster_676","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria metachromatica","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria metachromatica::Cluster_71","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria metachromatica","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria rosae::Cluster_172","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria rosae","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria subcucurbitae::Cluster_22","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria subcucurbitae","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria::Cluster_199","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unassigned","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria::Cluster_236","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unassigned","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Alternaria::Cluster_565","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unassigned","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpar_plant parasiteANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDpla_unassignedANDuna_unassigned","het_sym_par_pat_plaANDhet_sym_par_pla_unaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","observed","not observed"
"Annulohypoxylon::Cluster_16","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Annulohypoxylon","unassigned","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_wood saprotrophANDuna_unassigned","una_unassignedANDwoo_unassigned","het_dec_sap_woo_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Antennariella placitae::Cluster_500","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Antennariella","Antennariella placitae","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Apseudocercosporella trigonotidis::Cluster_124","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Apseudocercosporella","Apseudocercosporella trigonotidis","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDuna_unassigned","het_sym_par_pat_plaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","not observed","not observed"
"Apseudocercosporella trigonotidis::Cluster_384","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Apseudocercosporella","Apseudocercosporella trigonotidis","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDuna_unassigned","het_sym_par_pat_plaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","not observed","not observed"
"Apseudocercosporella trigonotidis::Cluster_606","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Apseudocercosporella","Apseudocercosporella trigonotidis","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDuna_unassigned","het_sym_par_pat_plaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","not observed","not observed"
"Archaeosporaceae::Cluster_1126","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Archaeosporaceae::Cluster_1161","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Archaeosporaceae::Cluster_1204","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Archaeosporaceae::Cluster_1242","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Archaeosporaceae::Cluster_1306","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Archaeosporaceae::Cluster_900","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Archaeosporaceae::Cluster_921","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Archaeosporaceae::Cluster_984","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Arthrinium guizhouense::Cluster_505","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Arthrinium","Arthrinium guizhouense","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDuna_unassigned","het_sym_par_pat_plaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","not observed","not observed"
"Ascobolaceae::Cluster_102","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascobolaceae::Cluster_107","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascobolaceae::Cluster_328","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascobolus::Cluster_26","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unassigned","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_litter saprotrophANDuna_unassigned","lit_unassignedANDuna_unassigned","het_dec_sap_lit_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Ascobolus::Cluster_46","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unassigned","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_litter saprotrophANDuna_unassigned","lit_unassignedANDuna_unassigned","het_dec_sap_lit_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Ascobolus::Cluster_690","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unassigned","het_decomposerANDhet_unassignedANDmic_unassigned","dec_saprotrophANDuna_unassigned","sap_litter saprotrophANDuna_unassigned","lit_unassignedANDuna_unassigned","het_dec_sap_lit_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Ascochyta medicaginicola_var._macrospora::Cluster_120","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","Ascochyta medicaginicola_var._macrospora","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDuna_unassigned","het_sym_par_pat_plaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","not observed","not observed"
"Ascochyta::Cluster_366","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","unassigned","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDuna_unassigned","het_sym_par_pat_plaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","not observed","not observed"
"Ascochyta::Cluster_948","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","unassigned","het_symbiotrophANDhet_unassignedANDmic_unassignedANDorg_chemoorganoautotroph","che_pathotrophANDsym_parasiteANDuna_unassigned","par_pathogenANDpat_unassignedANDuna_unassigned","pat_plant pathogenANDuna_unassigned","het_sym_par_pat_plaANDhet_una_una_una_unaANDmic_una_una_una_unaANDorg_che_pat_una_una","primary","bioag. and auxil.","not observed","not observed"
"Ascomycota::Cluster_1016","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_1021","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_104","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_1053","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_1092","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_1124","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_113","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_129","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_132","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Ascomycota::Cluster_146","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
